who,what,when,where,sentences
Lucas,beef,last night,in the garden,Lucas ate beef last night in the garden.
Linda,curry,this morning,at the cafe,Linda ate curry this morning at the cafe.
Mark,curry,last week,in the park,Mark ate curry last week in the park.
Emma,waffles,recently,in the station,Emma ate waffles recently in the station.
Julia,rice,recently,at the cafe,Julia ate rice recently at the cafe.
Michael,omelette,last Monday,in the station,Michael ate omelette last Monday in the station.
Lisa,salad,last night,at the school,Lisa ate salad last night at the school.
Daniel,salad,recently,in the kitchen,Daniel ate salad recently in the kitchen.
Claire,falafel,this weekend,at the mall,Claire ate falafel this weekend at the mall.
David,falafel,last Thursday,in the garden,David ate falafel last Thursday in the garden.
Alice,hot dog,last Tuesday,in the garden,Alice ate hot dog last Tuesday in the garden.
Ben,cheese,last week,at the mall,Ben ate cheese last week at the mall.
Emma,beef,last winter,at the mall,Emma ate beef last winter at the mall.
Thomas,apple pie,last Saturday,on the rooftop,Thomas ate apple pie last Saturday on the rooftop.
Paul,pizza,last Monday,at the restaurant,Paul ate pizza last Monday at the restaurant.
Anna,tacos,last Friday,in the office,Anna ate tacos last Friday in the office.
Hannah,omelette,yesterday,at the mall,Hannah ate omelette yesterday at the mall.
Charles,salad,this afternoon,in the park,Charles ate salad this afternoon in the park.
Lauren,curry,last week,at the school,Lauren ate curry last week at the school.
Chris,doughnuts,recently,in the office,Chris ate doughnuts recently in the office.
Ethan,cake,last night,in the office,Ethan ate cake last night in the office.
Julia,rice,last winter,in the garden,Julia ate rice last winter in the garden.
Sam,cereal,last fall,in the office,Sam ate cereal last fall in the office.
Rachel,banana,yesterday,at the restaurant,Rachel ate banana yesterday at the restaurant.
Emma,hamburger,last Thursday,in the kitchen,Emma ate hamburger last Thursday in the kitchen.
Mark,bread,last Sunday,at the cafe,Mark ate bread last Sunday at the cafe.
Sarah,biscuits,yesterday,in the station,Sarah ate biscuits yesterday in the station.
Sophie,fish,last night,in the station,Sophie ate fish last night in the station.
Alice,steak,this weekend,in the station,Alice ate steak this weekend in the station.
Lauren,fried chicken,last Saturday,in the office,Lauren ate fried chicken last Saturday in the office.
Jason,carbonara,last Friday,in the kitchen,Jason ate carbonara last Friday in the kitchen.
Kimberly,soup,two hours ago,in the office,Kimberly ate soup two hours ago in the office.
Rachel,chicken wings,last week,at the cafe,Rachel ate chicken wings last week at the cafe.
Mark,falafel,last Monday,in the park,Mark ate falafel last Monday in the park.
Jessica,falafel,yesterday,in the office,Jessica ate falafel yesterday in the office.
Olivia,tacos,last year,on the rooftop,Olivia ate tacos last year on the rooftop.
Alice,tacos,yesterday,in the park,Alice ate tacos yesterday in the park.
Richard,beef,last year,at the cafe,Richard ate beef last year at the cafe.
William,potatoes,today,on the rooftop,William ate potatoes today on the rooftop.
Olivia,toast,last Thursday,in the station,Olivia ate toast last Thursday in the station.
Lucas,curry,last Tuesday,at the restaurant,Lucas ate curry last Tuesday at the restaurant.
Emma,pancakes,last spring,on the rooftop,Emma ate pancakes last spring on the rooftop.
Jennifer,biscuits,lately,in the garden,Jennifer ate biscuits lately in the garden.
Charles,hamburger,last year,in the office,Charles ate hamburger last year in the office.
Sophie,steak,last Tuesday,in the park,Sophie ate steak last Tuesday in the park.
Thomas,cake,one hour ago,in the park,Thomas ate cake one hour ago in the park.
Olivia,sushi,this morning,in the kitchen,Olivia ate sushi this morning in the kitchen.
Jessica,doughnuts,last spring,on the rooftop,Jessica ate doughnuts last spring on the rooftop.
Mary,hamburger,recently,in the kitchen,Mary ate hamburger recently in the kitchen.
Sarah,noodle,last Friday,in the station,Sarah ate noodle last Friday in the station.
Sarah,soup,this evening,in the office,Sarah ate soup this evening in the office.
Sophie,rice,today,in the garden,Sophie ate rice today in the garden.
Emily,spaghetti,last Tuesday,at the restaurant,Emily ate spaghetti last Tuesday at the restaurant.
Sarah,sandwich,recently,at the mall,Sarah ate sandwich recently at the mall.
Emma,cake,this afternoon,on the rooftop,Emma ate cake this afternoon on the rooftop.
Ben,biscuits,last year,in the station,Ben ate biscuits last year in the station.
Rachel,banana,this afternoon,at the cafe,Rachel ate banana this afternoon at the cafe.
James,hot dog,last summer,in the office,James ate hot dog last summer in the office.
Karen,risotto,last Thursday,in the park,Karen ate risotto last Thursday in the park.
William,cereal,lately,at the school,William ate cereal lately at the school.
Michael,carbonara,last Sunday,on the rooftop,Michael ate carbonara last Sunday on the rooftop.
Lisa,cheese,two hours ago,at the mall,Lisa ate cheese two hours ago at the mall.
Kimberly,potatoes,last year,at the restaurant,Kimberly ate potatoes last year at the restaurant.
Chris,apple pie,today,at the school,Chris ate apple pie today at the school.
Charles,toast,last winter,on the rooftop,Charles ate toast last winter on the rooftop.
Ben,curry,recently,on the rooftop,Ben ate curry recently on the rooftop.
Ethan,omelette,last Monday,at the restaurant,Ethan ate omelette last Monday at the restaurant.
Chris,tacos,last Friday,at the restaurant,Chris ate tacos last Friday at the restaurant.
Sam,lasagna,recently,in the garden,Sam ate lasagna recently in the garden.
Alice,toast,two hours ago,at the school,Alice ate toast two hours ago at the school.
John,beef,last Friday,in the station,John ate beef last Friday in the station.
Anna,cereal,yesterday,in the station,Anna ate cereal yesterday in the station.
Lisa,nachos,last winter,in the station,Lisa ate nachos last winter in the station.
Chris,salad,this weekend,at the mall,Chris ate salad this weekend at the mall.
Julia,apple pie,last Wednesday,in the park,Julia ate apple pie last Wednesday in the park.
Emily,wok,this afternoon,in the garden,Emily ate wok this afternoon in the garden.
Jessica,beef,today,at the cafe,Jessica ate beef today at the cafe.
Matthew,sushi,last Friday,in the station,Matthew ate sushi last Friday in the station.
Linda,pancakes,last night,in the kitchen,Linda ate pancakes last night in the kitchen.
Alice,biscuits,yesterday,on the rooftop,Alice ate biscuits yesterday on the rooftop.
Lauren,tacos,today,in the kitchen,Lauren ate tacos today in the kitchen.
Matthew,noodle,last month,in the station,Matthew ate noodle last month in the station.
Lucas,omelette,yesterday,at the cafe,Lucas ate omelette yesterday at the cafe.
Emma,apple pie,this evening,in the kitchen,Emma ate apple pie this evening in the kitchen.
Daniel,sandwich,yesterday,at the cafe,Daniel ate sandwich yesterday at the cafe.
Anna,cake,last night,at the restaurant,Anna ate cake last night at the restaurant.
Sam,curry,this weekend,at the restaurant,Sam ate curry this weekend at the restaurant.
Ethan,cheese,last Tuesday,in the park,Ethan ate cheese last Tuesday in the park.
James,noodle,last year,at the school,James ate noodle last year at the school.
Jessica,fried chicken,this weekend,at the mall,Jessica ate fried chicken this weekend at the mall.
Claire,omelette,last fall,on the rooftop,Claire ate omelette last fall on the rooftop.
Thomas,cheese,two hours ago,at the restaurant,Thomas ate cheese two hours ago at the restaurant.
John,ravioli,last summer,at the cafe,John ate ravioli last summer at the cafe.
Lauren,cereal,last Monday,on the rooftop,Lauren ate cereal last Monday on the rooftop.
Kimberly,curry,last Saturday,at the cafe,Kimberly ate curry last Saturday at the cafe.
Richard,chicken wings,last night,in the kitchen,Richard ate chicken wings last night in the kitchen.
Michael,cake,last Monday,at the cafe,Michael ate cake last Monday at the cafe.
William,toast,recently,on the rooftop,William ate toast recently on the rooftop.
James,fried chicken,last Friday,in the kitchen,James ate fried chicken last Friday in the kitchen.
Emily,potatoes,last night,at the restaurant,Emily ate potatoes last night at the restaurant.
Jessica,ravioli,last Wednesday,in the park,Jessica ate ravioli last Wednesday in the park.
Chris,pizza,last Wednesday,at the mall,Chris ate pizza last Wednesday at the mall.
Hannah,pancakes,last fall,in the kitchen,Hannah ate pancakes last fall in the kitchen.
Emma,carbonara,last month,at the mall,Emma ate carbonara last month at the mall.
Linda,ravioli,lately,in the station,Linda ate ravioli lately in the station.
Lauren,pasta,last Monday,in the garden,Lauren ate pasta last Monday in the garden.
Chris,hamburger,two hours ago,at the school,Chris ate hamburger two hours ago at the school.
Anna,noodle,recently,at the school,Anna ate noodle recently at the school.
Robert,tacos,this evening,at the school,Robert ate tacos this evening at the school.
Ethan,risotto,last Sunday,in the park,Ethan ate risotto last Sunday in the park.
John,tacos,last year,at the school,John ate tacos last year at the school.
Robert,toast,last summer,in the kitchen,Robert ate toast last summer in the kitchen.
Robert,apple pie,last winter,in the kitchen,Robert ate apple pie last winter in the kitchen.
Karen,carbonara,this morning,at the school,Karen ate carbonara this morning at the school.
Charles,biscuits,this afternoon,in the office,Charles ate biscuits this afternoon in the office.
Hannah,fish,last winter,in the garden,Hannah ate fish last winter in the garden.
Sarah,banana,last night,on the rooftop,Sarah ate banana last night on the rooftop.
Joseph,sandwich,last night,in the station,Joseph ate sandwich last night in the station.
Sam,cheese,last summer,in the kitchen,Sam ate cheese last summer in the kitchen.
Karen,soup,recently,in the garden,Karen ate soup recently in the garden.
Mary,fish,this morning,in the park,Mary ate fish this morning in the park.
Matthew,beef,today,at the school,Matthew ate beef today at the school.
Michael,doughnuts,last Friday,on the rooftop,Michael ate doughnuts last Friday on the rooftop.
Linda,apple pie,this weekend,on the rooftop,Linda ate apple pie this weekend on the rooftop.
Julia,cake,two hours ago,at the cafe,Julia ate cake two hours ago at the cafe.
John,soup,last Tuesday,at the cafe,John ate soup last Tuesday at the cafe.
Emma,cereal,last night,at the cafe,Emma ate cereal last night at the cafe.
Kimberly,cake,last month,in the kitchen,Kimberly ate cake last month in the kitchen.
Joseph,hamburger,last Monday,in the garden,Joseph ate hamburger last Monday in the garden.
Elizabeth,noodle,last fall,at the mall,Elizabeth ate noodle last fall at the mall.
Thomas,wok,this afternoon,in the station,Thomas ate wok this afternoon in the station.
Chris,omelette,last week,at the mall,Chris ate omelette last week at the mall.
Sophie,omelette,this morning,at the school,Sophie ate omelette this morning at the school.
Chris,doughnuts,last night,at the mall,Chris ate doughnuts last night at the mall.
Paul,carbonara,last summer,in the garden,Paul ate carbonara last summer in the garden.
Sarah,falafel,today,in the garden,Sarah ate falafel today in the garden.
Elizabeth,hamburger,last summer,at the cafe,Elizabeth ate hamburger last summer at the cafe.
Matthew,risotto,last Monday,at the mall,Matthew ate risotto last Monday at the mall.
Claire,bagel,last Saturday,in the park,Claire ate bagel last Saturday in the park.
Thomas,bread,last spring,in the garden,Thomas ate bread last spring in the garden.
Hannah,doughnuts,last Wednesday,at the restaurant,Hannah ate doughnuts last Wednesday at the restaurant.
Claire,toast,this weekend,at the school,Claire ate toast this weekend at the school.
Lucas,bread,lately,in the park,Lucas ate bread lately in the park.
Charles,risotto,lately,in the park,Charles ate risotto lately in the park.
Jennifer,nachos,last month,at the restaurant,Jennifer ate nachos last month at the restaurant.
Sarah,burrito,one hour ago,in the garden,Sarah ate burrito one hour ago in the garden.
Olivia,wok,lately,at the school,Olivia ate wok lately at the school.
Sam,banana,last year,in the park,Sam ate banana last year in the park.
Mary,tacos,this morning,in the office,Mary ate tacos this morning in the office.
Michael,waffles,this afternoon,at the restaurant,Michael ate waffles this afternoon at the restaurant.
Paul,bagel,lately,at the mall,Paul ate bagel lately at the mall.
Kimberly,cheese,last year,on the rooftop,Kimberly ate cheese last year on the rooftop.
Sam,soup,last spring,in the office,Sam ate soup last spring in the office.
Claire,risotto,last spring,at the cafe,Claire ate risotto last spring at the cafe.
Ethan,cereal,last Sunday,in the garden,Ethan ate cereal last Sunday in the garden.
Jason,biscuits,this afternoon,at the restaurant,Jason ate biscuits this afternoon at the restaurant.
Mark,toast,last month,on the rooftop,Mark ate toast last month on the rooftop.
Jason,waffles,last month,on the rooftop,Jason ate waffles last month on the rooftop.
James,cake,last month,in the park,James ate cake last month in the park.
Rachel,ravioli,last Sunday,in the park,Rachel ate ravioli last Sunday in the park.
Lisa,fish,last Wednesday,at the school,Lisa ate fish last Wednesday at the school.
Emily,doughnuts,last Wednesday,in the office,Emily ate doughnuts last Wednesday in the office.
Jennifer,waffles,two hours ago,at the mall,Jennifer ate waffles two hours ago at the mall.
Ben,bagel,last night,at the mall,Ben ate bagel last night at the mall.
Kimberly,omelette,today,in the kitchen,Kimberly ate omelette today in the kitchen.
Emily,sushi,last week,at the school,Emily ate sushi last week at the school.
Anna,apple pie,last Monday,in the garden,Anna ate apple pie last Monday in the garden.
Kimberly,doughnuts,yesterday,in the kitchen,Kimberly ate doughnuts yesterday in the kitchen.
Jessica,doughnuts,last Saturday,on the rooftop,Jessica ate doughnuts last Saturday on the rooftop.
Charles,waffles,last Friday,on the rooftop,Charles ate waffles last Friday on the rooftop.
Emily,sandwich,last Wednesday,in the kitchen,Emily ate sandwich last Wednesday in the kitchen.
Daniel,cheese,last night,at the school,Daniel ate cheese last night at the school.
Mary,carbonara,this weekend,in the office,Mary ate carbonara this weekend in the office.
Michael,noodle,last night,on the rooftop,Michael ate noodle last night on the rooftop.
Jessica,toast,one hour ago,in the park,Jessica ate toast one hour ago in the park.
Lauren,sandwich,last spring,in the park,Lauren ate sandwich last spring in the park.
Alice,pasta,last summer,in the garden,Alice ate pasta last summer in the garden.
Joseph,beef,last week,in the garden,Joseph ate beef last week in the garden.
Paul,chicken wings,last Wednesday,at the school,Paul ate chicken wings last Wednesday at the school.
Daniel,toast,recently,on the rooftop,Daniel ate toast recently on the rooftop.
Mary,sandwich,last summer,in the station,Mary ate sandwich last summer in the station.
Thomas,falafel,this weekend,in the station,Thomas ate falafel this weekend in the station.
Kimberly,steak,last winter,in the kitchen,Kimberly ate steak last winter in the kitchen.
Jessica,bread,lately,in the station,Jessica ate bread lately in the station.
Robert,fried chicken,one hour ago,in the garden,Robert ate fried chicken one hour ago in the garden.
Claire,cheese,lately,at the restaurant,Claire ate cheese lately at the restaurant.
William,pizza,last fall,in the garden,William ate pizza last fall in the garden.
William,potatoes,last Saturday,at the mall,William ate potatoes last Saturday at the mall.
John,hot dog,last fall,in the office,John ate hot dog last fall in the office.
Emma,pasta,last Tuesday,at the restaurant,Emma ate pasta last Tuesday at the restaurant.
Daniel,bagel,last year,at the school,Daniel ate bagel last year at the school.
Richard,apple pie,this weekend,at the school,Richard ate apple pie this weekend at the school.
John,pizza,one hour ago,at the school,John ate pizza one hour ago at the school.
Ethan,spaghetti,last Saturday,at the mall,Ethan ate spaghetti last Saturday at the mall.
Emma,soup,last Monday,at the cafe,Emma ate soup last Monday at the cafe.
Richard,pizza,last year,on the rooftop,Richard ate pizza last year on the rooftop.
Michael,salad,this evening,in the kitchen,Michael ate salad this evening in the kitchen.
Anna,hot dog,last fall,on the rooftop,Anna ate hot dog last fall on the rooftop.
Hannah,carbonara,two hours ago,in the office,Hannah ate carbonara two hours ago in the office.
Charles,toast,last Saturday,at the school,Charles ate toast last Saturday at the school.
Joseph,banana,last Thursday,in the kitchen,Joseph ate banana last Thursday in the kitchen.
James,chicken wings,last week,in the station,James ate chicken wings last week in the station.
Rachel,fried chicken,this morning,at the restaurant,Rachel ate fried chicken this morning at the restaurant.
Thomas,bread,recently,at the mall,Thomas ate bread recently at the mall.
Daniel,pasta,lately,at the restaurant,Daniel ate pasta lately at the restaurant.
Joseph,pizza,last night,in the kitchen,Joseph ate pizza last night in the kitchen.
Olivia,spaghetti,last spring,in the garden,Olivia ate spaghetti last spring in the garden.
Emma,chicken wings,last fall,at the cafe,Emma ate chicken wings last fall at the cafe.
Jason,hot dog,today,on the rooftop,Jason ate hot dog today on the rooftop.
Sophie,salad,two hours ago,in the garden,Sophie ate salad two hours ago in the garden.
Jessica,pizza,today,in the station,Jessica ate pizza today in the station.
Olivia,pizza,last month,on the rooftop,Olivia ate pizza last month on the rooftop.
Robert,hamburger,one hour ago,on the rooftop,Robert ate hamburger one hour ago on the rooftop.
Mary,soup,this weekend,in the office,Mary ate soup this weekend in the office.
Julia,fish,this afternoon,in the garden,Julia ate fish this afternoon in the garden.
Robert,salad,recently,in the park,Robert ate salad recently in the park.
Ethan,sandwich,recently,in the garden,Ethan ate sandwich recently in the garden.
Michael,salad,this morning,in the station,Michael ate salad this morning in the station.
Paul,soup,last winter,in the station,Paul ate soup last winter in the station.
John,banana,last Tuesday,in the station,John ate banana last Tuesday in the station.
Jason,soup,last month,at the cafe,Jason ate soup last month at the cafe.
Ethan,carbonara,this afternoon,at the cafe,Ethan ate carbonara this afternoon at the cafe.
Daniel,tacos,last Saturday,at the restaurant,Daniel ate tacos last Saturday at the restaurant.
Sophie,spaghetti,last Saturday,in the park,Sophie ate spaghetti last Saturday in the park.
Emma,biscuits,recently,in the garden,Emma ate biscuits recently in the garden.
Matthew,fried chicken,last fall,in the station,Matthew ate fried chicken last fall in the station.
Robert,fish,last month,in the park,Robert ate fish last month in the park.
Karen,cereal,last month,in the station,Karen ate cereal last month in the station.
Michael,cheese,last Thursday,in the park,Michael ate cheese last Thursday in the park.
Jennifer,hot dog,last winter,in the kitchen,Jennifer ate hot dog last winter in the kitchen.
Jennifer,carbonara,lately,in the station,Jennifer ate carbonara lately in the station.
Michael,curry,two hours ago,in the garden,Michael ate curry two hours ago in the garden.
Lucas,noodle,last Sunday,at the cafe,Lucas ate noodle last Sunday at the cafe.
Jessica,hot dog,this afternoon,in the park,Jessica ate hot dog this afternoon in the park.
Robert,toast,last week,in the park,Robert ate toast last week in the park.
Paul,ravioli,last Wednesday,in the park,Paul ate ravioli last Wednesday in the park.
Claire,ravioli,last Tuesday,in the park,Claire ate ravioli last Tuesday in the park.
Mark,wok,yesterday,on the rooftop,Mark ate wok yesterday on the rooftop.
Claire,cereal,this evening,in the kitchen,Claire ate cereal this evening in the kitchen.
Mary,pancakes,one hour ago,at the mall,Mary ate pancakes one hour ago at the mall.
Karen,toast,last Tuesday,at the mall,Karen ate toast last Tuesday at the mall.
Rachel,fried chicken,recently,in the office,Rachel ate fried chicken recently in the office.
Hannah,burrito,last winter,in the kitchen,Hannah ate burrito last winter in the kitchen.
Robert,apple pie,two hours ago,at the restaurant,Robert ate apple pie two hours ago at the restaurant.
Ben,bagel,today,at the restaurant,Ben ate bagel today at the restaurant.
Claire,sushi,one hour ago,in the park,Claire ate sushi one hour ago in the park.
Jason,fish,last Thursday,in the kitchen,Jason ate fish last Thursday in the kitchen.
Michael,hamburger,last night,on the rooftop,Michael ate hamburger last night on the rooftop.
Sophie,doughnuts,last fall,in the kitchen,Sophie ate doughnuts last fall in the kitchen.
Anna,pasta,last month,in the garden,Anna ate pasta last month in the garden.
Joseph,spaghetti,last Thursday,in the kitchen,Joseph ate spaghetti last Thursday in the kitchen.
Lauren,pancakes,last Tuesday,at the school,Lauren ate pancakes last Tuesday at the school.
David,soup,one hour ago,at the school,David ate soup one hour ago at the school.
Daniel,burrito,last fall,at the restaurant,Daniel ate burrito last fall at the restaurant.
Olivia,steak,last year,at the restaurant,Olivia ate steak last year at the restaurant.
Emily,bagel,yesterday,at the mall,Emily ate bagel yesterday at the mall.
Lucas,salad,last Saturday,at the mall,Lucas ate salad last Saturday at the mall.
Elizabeth,steak,last summer,at the school,Elizabeth ate steak last summer at the school.
Daniel,pasta,last Monday,at the school,Daniel ate pasta last Monday at the school.
Richard,waffles,last month,in the kitchen,Richard ate waffles last month in the kitchen.
Sam,chicken wings,today,on the rooftop,Sam ate chicken wings today on the rooftop.
Elizabeth,sushi,today,at the cafe,Elizabeth ate sushi today at the cafe.
Chris,cake,last night,in the office,Chris ate cake last night in the office.
Lucas,noodle,last Saturday,in the kitchen,Lucas ate noodle last Saturday in the kitchen.
Julia,carbonara,this morning,in the garden,Julia ate carbonara this morning in the garden.
Kimberly,ravioli,last fall,at the school,Kimberly ate ravioli last fall at the school.
Paul,sushi,last Thursday,at the cafe,Paul ate sushi last Thursday at the cafe.
Matthew,cereal,last spring,in the station,Matthew ate cereal last spring in the station.
Joseph,cake,this evening,in the office,Joseph ate cake this evening in the office.
Lucas,spaghetti,last Friday,in the kitchen,Lucas ate spaghetti last Friday in the kitchen.
Emma,noodle,last Friday,at the cafe,Emma ate noodle last Friday at the cafe.
Kimberly,hamburger,last week,at the mall,Kimberly ate hamburger last week at the mall.
Elizabeth,bagel,last winter,in the park,Elizabeth ate bagel last winter in the park.
Richard,fried chicken,this evening,on the rooftop,Richard ate fried chicken this evening on the rooftop.
Lauren,wok,last fall,at the school,Lauren ate wok last fall at the school.
Olivia,noodle,this evening,at the restaurant,Olivia ate noodle this evening at the restaurant.
James,hamburger,this morning,at the cafe,James ate hamburger this morning at the cafe.
Alice,waffles,this afternoon,at the mall,Alice ate waffles this afternoon at the mall.
Chris,fish,lately,in the garden,Chris ate fish lately in the garden.
Jason,waffles,one hour ago,in the office,Jason ate waffles one hour ago in the office.
Robert,hamburger,last year,at the mall,Robert ate hamburger last year at the mall.
John,hamburger,last week,at the cafe,John ate hamburger last week at the cafe.
Claire,beef,lately,at the cafe,Claire ate beef lately at the cafe.
Anna,curry,last Thursday,in the garden,Anna ate curry last Thursday in the garden.
Hannah,apple pie,last night,in the park,Hannah ate apple pie last night in the park.
Sarah,toast,last winter,at the cafe,Sarah ate toast last winter at the cafe.
Emily,salad,yesterday,in the park,Emily ate salad yesterday in the park.
Sophie,salad,last Friday,at the cafe,Sophie ate salad last Friday at the cafe.
Matthew,bagel,last year,in the kitchen,Matthew ate bagel last year in the kitchen.
Karen,soup,today,on the rooftop,Karen ate soup today on the rooftop.
Lucas,sandwich,last week,in the office,Lucas ate sandwich last week in the office.
David,carbonara,last spring,at the mall,David ate carbonara last spring at the mall.
Olivia,ravioli,last Thursday,at the school,Olivia ate ravioli last Thursday at the school.
Richard,spaghetti,recently,in the kitchen,Richard ate spaghetti recently in the kitchen.
Elizabeth,potatoes,last Wednesday,in the garden,Elizabeth ate potatoes last Wednesday in the garden.
Sophie,toast,lately,in the garden,Sophie ate toast lately in the garden.
Mark,hamburger,recently,in the station,Mark ate hamburger recently in the station.
Chris,falafel,yesterday,on the rooftop,Chris ate falafel yesterday on the rooftop.
Lauren,doughnuts,last Sunday,in the garden,Lauren ate doughnuts last Sunday in the garden.
Sarah,spaghetti,last night,at the mall,Sarah ate spaghetti last night at the mall.
Hannah,bread,recently,in the station,Hannah ate bread recently in the station.
Robert,falafel,last month,at the restaurant,Robert ate falafel last month at the restaurant.
Claire,sandwich,one hour ago,on the rooftop,Claire ate sandwich one hour ago on the rooftop.
Thomas,beef,last Thursday,at the restaurant,Thomas ate beef last Thursday at the restaurant.
Ethan,pasta,last Sunday,at the cafe,Ethan ate pasta last Sunday at the cafe.
Karen,omelette,yesterday,on the rooftop,Karen ate omelette yesterday on the rooftop.
Paul,pancakes,this evening,in the garden,Paul ate pancakes this evening in the garden.
Hannah,cheese,this evening,in the station,Hannah ate cheese this evening in the station.
Sarah,cake,recently,in the park,Sarah ate cake recently in the park.
Julia,biscuits,last summer,at the mall,Julia ate biscuits last summer at the mall.
Joseph,cereal,this evening,in the station,Joseph ate cereal this evening in the station.
Lauren,hot dog,last Sunday,on the rooftop,Lauren ate hot dog last Sunday on the rooftop.
Michael,risotto,last Saturday,in the station,Michael ate risotto last Saturday in the station.
Hannah,cheese,last Tuesday,on the rooftop,Hannah ate cheese last Tuesday on the rooftop.
Paul,cereal,last summer,in the park,Paul ate cereal last summer in the park.
Charles,bread,lately,in the garden,Charles ate bread lately in the garden.
Ethan,pizza,today,on the rooftop,Ethan ate pizza today on the rooftop.
Alice,pancakes,this evening,at the mall,Alice ate pancakes this evening at the mall.
Chris,pizza,one hour ago,at the school,Chris ate pizza one hour ago at the school.
David,pizza,last Saturday,at the mall,David ate pizza last Saturday at the mall.
Mark,hot dog,one hour ago,on the rooftop,Mark ate hot dog one hour ago on the rooftop.
Robert,falafel,last Wednesday,at the cafe,Robert ate falafel last Wednesday at the cafe.
Lucas,risotto,this evening,at the restaurant,Lucas ate risotto this evening at the restaurant.
Emma,bagel,last year,in the station,Emma ate bagel last year in the station.
Matthew,beef,last fall,in the kitchen,Matthew ate beef last fall in the kitchen.
Emma,bagel,last Monday,in the garden,Emma ate bagel last Monday in the garden.
John,ravioli,today,in the park,John ate ravioli today in the park.
Karen,sandwich,last spring,at the cafe,Karen ate sandwich last spring at the cafe.
Mark,chicken wings,one hour ago,in the garden,Mark ate chicken wings one hour ago in the garden.
David,banana,this evening,at the restaurant,David ate banana this evening at the restaurant.
Elizabeth,nachos,last Thursday,in the office,Elizabeth ate nachos last Thursday in the office.
Charles,lasagna,two hours ago,at the restaurant,Charles ate lasagna two hours ago at the restaurant.
Michael,ravioli,last summer,in the kitchen,Michael ate ravioli last summer in the kitchen.
Lucas,curry,one hour ago,in the park,Lucas ate curry one hour ago in the park.
John,bagel,last Thursday,at the mall,John ate bagel last Thursday at the mall.
Paul,banana,this evening,at the mall,Paul ate banana this evening at the mall.
Sarah,wok,one hour ago,at the restaurant,Sarah ate wok one hour ago at the restaurant.
Jason,potatoes,last week,at the restaurant,Jason ate potatoes last week at the restaurant.
Michael,carbonara,last Tuesday,in the park,Michael ate carbonara last Tuesday in the park.
Joseph,curry,last Thursday,at the school,Joseph ate curry last Thursday at the school.
Paul,burrito,last summer,at the school,Paul ate burrito last summer at the school.
Mary,cake,last Sunday,in the station,Mary ate cake last Sunday in the station.
Thomas,pizza,last fall,in the garden,Thomas ate pizza last fall in the garden.
Mark,banana,lately,in the station,Mark ate banana lately in the station.
Julia,waffles,last month,on the rooftop,Julia ate waffles last month on the rooftop.
Alice,chicken wings,today,in the garden,Alice ate chicken wings today in the garden.
James,noodle,last week,at the restaurant,James ate noodle last week at the restaurant.
Matthew,chicken wings,last year,at the cafe,Matthew ate chicken wings last year at the cafe.
David,risotto,this afternoon,in the garden,David ate risotto this afternoon in the garden.
Matthew,cereal,last Monday,at the restaurant,Matthew ate cereal last Monday at the restaurant.
Olivia,toast,last Thursday,at the mall,Olivia ate toast last Thursday at the mall.
Charles,salad,last Thursday,in the office,Charles ate salad last Thursday in the office.
David,spaghetti,last Sunday,in the garden,David ate spaghetti last Sunday in the garden.
Julia,nachos,last Wednesday,in the station,Julia ate nachos last Wednesday in the station.
Ben,waffles,last Tuesday,in the garden,Ben ate waffles last Tuesday in the garden.
Charles,waffles,last night,in the office,Charles ate waffles last night in the office.
Julia,cheese,last Friday,in the kitchen,Julia ate cheese last Friday in the kitchen.
Ethan,ravioli,last Monday,at the restaurant,Ethan ate ravioli last Monday at the restaurant.
Claire,waffles,this evening,in the garden,Claire ate waffles this evening in the garden.
Karen,ravioli,this morning,in the park,Karen ate ravioli this morning in the park.
Lauren,wok,last Wednesday,on the rooftop,Lauren ate wok last Wednesday on the rooftop.
Paul,sushi,last summer,in the station,Paul ate sushi last summer in the station.
Jason,bread,yesterday,at the mall,Jason ate bread yesterday at the mall.
Elizabeth,beef,this morning,at the mall,Elizabeth ate beef this morning at the mall.
David,falafel,recently,on the rooftop,David ate falafel recently on the rooftop.
Jessica,cereal,this weekend,in the office,Jessica ate cereal this weekend in the office.
Lauren,waffles,last night,at the mall,Lauren ate waffles last night at the mall.
Linda,bread,yesterday,in the kitchen,Linda ate bread yesterday in the kitchen.
James,wok,last Saturday,on the rooftop,James ate wok last Saturday on the rooftop.
Julia,pancakes,two hours ago,at the restaurant,Julia ate pancakes two hours ago at the restaurant.
William,steak,two hours ago,at the mall,William ate steak two hours ago at the mall.
Paul,rice,last Monday,at the cafe,Paul ate rice last Monday at the cafe.
Lauren,bagel,last year,in the garden,Lauren ate bagel last year in the garden.
Daniel,cereal,last spring,at the mall,Daniel ate cereal last spring at the mall.
Mark,sushi,last Sunday,in the kitchen,Mark ate sushi last Sunday in the kitchen.
Sam,cereal,this afternoon,in the kitchen,Sam ate cereal this afternoon in the kitchen.
Olivia,noodle,last Friday,in the park,Olivia ate noodle last Friday in the park.
Sam,carbonara,recently,at the cafe,Sam ate carbonara recently at the cafe.
Daniel,banana,last Wednesday,at the mall,Daniel ate banana last Wednesday at the mall.
Ben,toast,this afternoon,at the cafe,Ben ate toast this afternoon at the cafe.
Sarah,wok,last Thursday,on the rooftop,Sarah ate wok last Thursday on the rooftop.
Kimberly,sandwich,last Wednesday,in the station,Kimberly ate sandwich last Wednesday in the station.
